log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
four_oh_four,3,404 Error,2015-11-28 19:44:39,2015-11-28 17:44:39,195.154.250.133,,,/components/com_creativecontactform/fileupload/files/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-11-28 19:44:52,2015-11-28 17:44:52,195.154.250.133,,,/server/php/,http://selectsifiso.net/server/php/,query_string=
four_oh_four,3,404 Error,2015-11-28 19:44:56,2015-11-28 17:44:56,195.154.250.133,,,/server/php/files/samplc.php,,query_string=
away_mode,5,Away Mode Triggered,2015-11-29 04:01:26,2015-11-29 02:01:26,46.73.125.168,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-11-29 04:01:32,2015-11-29 02:01:32,46.73.125.168,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
four_oh_four,3,404 Error,2015-11-29 04:01:57,2015-11-29 02:01:57,46.73.125.168,,,/admin.php,,query_string=
four_oh_four,3,404 Error,2015-11-29 21:07:25,2015-11-29 19:07:25,178.255.215.90,,,/,,query_string=page_id=160
four_oh_four,3,404 Error,2015-11-29 21:26:32,2015-11-29 19:26:32,5.61.39.5,,,/wp-admin/edit-form-tags.php,,query_string=
four_oh_four,3,404 Error,2015-11-29 23:33:41,2015-11-29 21:33:41,185.117.74.157,,,/wp-admin/image-import.php,,query_string=
away_mode,5,Away Mode Triggered,2015-11-30 01:10:58,2015-11-29 23:10:58,69.30.244.186,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
four_oh_four,3,404 Error,2015-11-30 02:27:29,2015-11-30 00:27:29,188.163.110.14,,,/admin.php,,query_string=
four_oh_four,3,404 Error,2015-11-30 02:51:33,2015-11-30 00:51:33,5.61.39.5,,,/wp-admin/edit-link-class.php,,query_string=
four_oh_four,3,404 Error,2015-11-30 02:57:16,2015-11-30 00:57:16,68.180.229.233,,,/author/feed/,,query_string=
four_oh_four,3,404 Error,2015-11-30 04:21:57,2015-11-30 02:21:57,180.76.15.136,,,/author/feed/,,query_string=
four_oh_four,3,404 Error,2015-11-30 05:29:44,2015-11-30 03:29:44,5.61.39.5,,,/wp-includes/js/tinymce/plugins/fullscreen/temperament.php,,query_string=
four_oh_four,3,404 Error,2015-11-30 05:33:08,2015-11-30 03:33:08,207.46.13.165,,,/,,query_string=page_id=160
four_oh_four,3,404 Error,2015-11-30 21:18:08,2015-11-30 19:18:08,106.39.160.104,,,/,http://www.selectsifiso.net/,query_string=p=39
four_oh_four,3,404 Error,2015-12-01 10:05:39,2015-12-01 08:05:39,185.117.74.157,,,/wp-includes/wp-admin/includes/core.php,,query_string=
away_mode,5,Away Mode Triggered,2015-12-02 03:10:03,2015-12-02 01:10:03,104.194.26.204,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-12-03 05:11:19,2015-12-03 03:11:19,5.153.238.103,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
four_oh_four,3,404 Error,2015-12-03 13:18:46,2015-12-03 11:18:46,195.242.191.45,,,/administrator/components/com_civicrm/civicrm/packages/OpenFlashChart/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php
four_oh_four,3,404 Error,2015-12-03 13:18:51,2015-12-03 11:18:51,195.242.191.45,,,/administrator/components/com_civicrm/civicrm/packages/OpenFlashChart/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php.pHp
four_oh_four,3,404 Error,2015-12-03 13:18:53,2015-12-03 11:18:53,195.242.191.45,,,/components/com_civicrm/civicrm/packages/OpenFlashChart/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php
four_oh_four,3,404 Error,2015-12-03 13:18:55,2015-12-03 11:18:55,195.242.191.45,,,/components/com_civicrm/civicrm/packages/OpenFlashChart/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php.pHp
four_oh_four,3,404 Error,2015-12-03 13:18:56,2015-12-03 11:18:56,195.242.191.45,,,/administrator/components/com_acymailing/inc/openflash/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php
four_oh_four,3,404 Error,2015-12-03 13:18:58,2015-12-03 11:18:58,195.242.191.45,,,/administrator/components/com_acymailing/inc/openflash/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php.pHp
four_oh_four,3,404 Error,2015-12-03 13:19:00,2015-12-03 11:19:00,195.242.191.45,,,/components/com_acymailing/inc/openflash/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php
four_oh_four,3,404 Error,2015-12-03 13:19:02,2015-12-03 11:19:02,195.242.191.45,,,/components/com_acymailing/inc/openflash/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php.pHp
four_oh_four,3,404 Error,2015-12-03 13:19:03,2015-12-03 11:19:03,195.242.191.45,,,/administrator/components/com_jnewsletter/includes/openflashchart/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php
four_oh_four,3,404 Error,2015-12-03 13:19:07,2015-12-03 11:19:07,195.242.191.45,,,/administrator/components/com_jnewsletter/includes/openflashchart/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php.pHp
four_oh_four,3,404 Error,2015-12-03 13:19:12,2015-12-03 11:19:12,195.242.191.45,,,/components/com_jnewsletter/includes/openflashchart/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php
four_oh_four,3,404 Error,2015-12-03 13:19:16,2015-12-03 11:19:16,195.242.191.45,,,/components/com_jnewsletter/includes/openflashchart/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php.pHp
four_oh_four,3,404 Error,2015-12-03 13:19:18,2015-12-03 11:19:18,195.242.191.45,,,/administrator/components/com_jinc/classes/graphics/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php
four_oh_four,3,404 Error,2015-12-03 13:19:20,2015-12-03 11:19:20,195.242.191.45,,,/administrator/components/com_jinc/classes/graphics/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php.pHp
four_oh_four,3,404 Error,2015-12-03 13:19:22,2015-12-03 11:19:22,195.242.191.45,,,/components/com_jinc/classes/graphics/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php
four_oh_four,3,404 Error,2015-12-03 13:19:25,2015-12-03 11:19:25,195.242.191.45,,,/components/com_jinc/classes/graphics/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php.pHp
four_oh_four,3,404 Error,2015-12-03 13:19:27,2015-12-03 11:19:27,195.242.191.45,,,/administrator/components/com_maian15/charts/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php
four_oh_four,3,404 Error,2015-12-03 13:19:29,2015-12-03 11:19:29,195.242.191.45,,,/administrator/components/com_maian15/charts/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php.pHp
four_oh_four,3,404 Error,2015-12-03 13:19:32,2015-12-03 11:19:32,195.242.191.45,,,/components/com_maian15/charts/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php
four_oh_four,3,404 Error,2015-12-03 13:19:33,2015-12-03 11:19:33,195.242.191.45,,,/components/com_maian15/charts/php-ofc-library/ofc_upload_image.php,,query_string=name=magic.php.pHp
lockout,10,Host or User Lockout,2015-12-03 13:19:33,2015-12-03 11:19:33,195.242.191.45,,,,,expires=2015-12-03 13:34:33expires_gmt=2015-12-03 11:34:33type=four_oh_four
four_oh_four,3,404 Error,2015-12-04 02:47:16,2015-12-04 00:47:16,66.249.64.39,,,/apple-app-site-association,,query_string=
four_oh_four,3,404 Error,2015-12-04 14:06:06,2015-12-04 12:06:06,93.171.205.49,,,/wp-admin/media-parse-new.php,http://selectsifiso.net/wp-admin/media-parse-new.php,query_string=
four_oh_four,3,404 Error,2015-12-04 14:24:02,2015-12-04 12:24:02,180.153.163.211,,,/sharecdn.social9.com/v1/social9.min.js,http://www.selectsifiso.net//sharecdn.social9.com/v1/social9.min.js?ver=0e36dc6d94add3243547fcfbdb2d441e,query_string=ver=0e36dc6d94add3243547fcfbdb2d441e
